date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:07:08	96401/96401	URF---	200	added ('OK%20(cached)')	image/png		https://storage.wedew.id/uploads/public/659/8f7/575/6598f7575cc72267272146.png	/home/jona/websites/asdasd/storage.wedew.id/uploads/public/659/8f7/575/6598f7575cc72267272146.png	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:07:09	15008/15008	URF---	200	added ('OK%20(cached)')	image/jpeg		https://storage.wedew.id/uploads/public/638/36e/49a/thumb_1975596_800_600_0_0_auto.jpg	/home/jona/websites/asdasd/storage.wedew.id/uploads/public/638/36e/49a/thumb_1975596_800_600_0_0_auto.jpg	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:07:09	204809/204809	URF---	200	added ('OK%20(cached)')	image/png		https://storage.wedew.id/uploads/public/659/8f7/575/6598f7575e5b0578201720.png	/home/jona/websites/asdasd/storage.wedew.id/uploads/public/659/8f7/575/6598f7575e5b0578201720.png	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:07:11	22619/22619	URF---	200	added ('OK%20(cached)')	image/png		https://storage.wedew.id/uploads/public/659/8f0/c43/thumb_2332914_0_400_0_0_auto.png	/home/jona/websites/asdasd/storage.wedew.id/uploads/public/659/8f0/c43/thumb_2332914_0_400_0_0_auto.png	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:07:11	9361/9361	URF---	200	added ('OK%20(cached)')	image/jpeg		https://storage.wedew.id/uploads/public/638/36d/477/thumb_1975581_480_480_0_0_crop.jpg	/home/jona/websites/asdasd/storage.wedew.id/uploads/public/638/36d/477/thumb_1975581_480_480_0_0_crop.jpg	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:07:13	2332/2332	---M--	200	added ('OK')	font/woff2	etag:%2265fc6eea-91c%22	https://wedew.id/node_modules/lightgallery/fonts/lg.woff2?io9a6k	/home/jona/websites/asdasd/wedew.id/node_modules/lightgallery/fonts/lgb687.woff2	(from https://wedew.id/combine/1e0a1e330f52996b34e9cda342217bc8-1709119697.css)
19:07:13	4134/4134	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%22b53921ac13070d6450471f81669e5e2d%22	https://wedew.id/combine/b53921ac13070d6450471f81669e5e2d-1709119694.js	/home/jona/websites/asdasd/wedew.id/combine/b53921ac13070d6450471f81669e5e2d-1709119694.js	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:07:13	1634/1634	UR-M--	416	error ('Requested%20range%20not%20satisfiable')	text/html	date:Sat,%2013%20Apr%202024%2012:07:12%20GMT	http://img.youtube.com/vi/eRaLce0oIr8/hqdefault.jpg	/home/jona/websites/asdasd/img.youtube.com/vi/eRaLce0oIr8/hqdefault.jpg	(from https://demo.wedew.id/?theme_preview=flower-gold)
19:07:14	4756/4756	---M--	200	added ('OK')	application/octet-stream	etag:%2265fc6eea-1294%22	https://wedew.id/node_modules/lightgallery/fonts/lg.ttf?io9a6k	/home/jona/websites/asdasd/wedew.id/node_modules/lightgallery/fonts/lgb687.ttf	(from https://wedew.id/combine/1e0a1e330f52996b34e9cda342217bc8-1709119697.css)
19:07:14	147363/147363	UR-MCZ	200	added ('OK')	application/javascript	etag:W/%222e96bb7b1729f55719416f237fa5bf26%22	https://wedew.id/combine/2e96bb7b1729f55719416f237fa5bf26-1709119696.js	/home/jona/websites/asdasd/wedew.id/combine/2e96bb7b1729f55719416f237fa5bf26-1709119696.js	(from https://demo.wedew.id/?theme_preview=flower-gold)
